team,points,gd,goalsFor,goalsAgainst
Man City,86,65,102,37
Liverpool,84,51,101,50
Chelsea,82,44,71,27
Arsenal,79,27,68,41
Everton,72,22,61,39
Tottenham,69,4,55,51
Man United,64,21,64,43
Southampton,56,8,54,46
Stoke,50,-7,45,52
Newcastle,49,-16,43,59
Crystal Palace,45,-15,33,48
Swansea,42,0,54,54
West Ham,40,-11,40,51
Sunderland,38,-19,41,60
Aston Villa,38,-22,39,61
Hull,37,-15,38,53
West Brom,36,-16,43,59
Norwich,33,-34,28,62
Fulham,32,-45,40,85
Cardiff,30,-42,32,74
