team,points,gd,goalsFor,goalsAgainst
Man United,80,48,79,31
Arsenal,70,25,63,38
Liverpool,69,32,71,39
Leeds,68,21,64,43
Ipswich,66,15,57,42
Chelsea,61,23,68,45
Sunderland,57,5,46,41
Aston Villa,54,3,46,43
Southampton,52,-8,40,48
Charlton,52,-7,50,57
Newcastle,51,-6,44,50
Tottenham,49,-7,47,54
Leicester,48,-12,39,51
West Ham,42,-5,45,50
Everton,42,-14,45,59
Middlesbrough,42,0,44,44
Derby,42,-22,37,59
Coventry,34,-27,36,63
Man City,34,-24,41,65
Bradford,26,-40,30,70
