team,points,gd,goalsFor,goalsAgainst
Arsenal,90,47,73,26
Chelsea,79,37,67,30
Man United,75,29,64,35
Liverpool,60,18,55,37
Aston Villa,56,4,48,44
Newcastle,56,12,52,40
Bolton,53,-8,48,56
Charlton,53,0,51,51
Fulham,52,6,52,46
Birmingham,50,-5,43,48
Middlesbrough,48,-8,44,52
Southampton,47,-1,44,45
Portsmouth,45,-7,47,54
Tottenham,45,-10,47,57
Blackburn,44,-8,51,59
Man City,41,1,55,54
Everton,39,-12,45,57
Leeds,33,-39,40,79
Wolves,33,-39,38,77
Leicester,33,-17,48,65
