team,points,gd,goalsFor,goalsAgainst
Leicester,81,32,68,36
Arsenal,71,29,65,36
Tottenham,70,34,69,35
Man United,66,14,49,35
Man City,66,30,71,41
Southampton,63,18,59,41
West Ham,62,14,65,51
Liverpool,60,13,63,50
Stoke,51,-14,41,55
Chelsea,50,6,59,53
Swansea,47,-10,42,52
Everton,47,4,59,55
Watford,45,-10,40,50
West Brom,43,-14,34,48
Crystal Palace,42,-12,39,51
Bournemouth,42,-22,45,67
Sunderland,39,-14,48,62
Newcastle,37,-21,44,65
Norwich,34,-28,39,67
Aston Villa,17,-49,27,76
