team,points,gd,goalsFor,goalsAgainst
Man United,87,58,80,22
Chelsea,85,39,65,26
Arsenal,83,43,74,31
Liverpool,76,39,67,28
Everton,65,22,55,33
Aston Villa,60,20,71,51
Blackburn,58,2,50,48
Portsmouth,57,8,48,40
Man City,55,-8,45,53
West Ham,49,-8,42,50
Tottenham,46,5,66,61
Newcastle,43,-20,45,65
Middlesbrough,42,-10,43,53
Wigan,40,-17,34,51
Sunderland,39,-23,36,59
Bolton,37,-18,36,54
Reading,36,-25,41,66
Fulham,36,-22,38,60
Birmingham,35,-16,46,62
Derby,11,-69,20,89
